gene_id	utrname1	gene_symbol	gs_id
158471	NR_131751	PRUNE2	5367
158471	NM_001308048	PRUNE2	5367
158471	NM_001308047	PRUNE2	5367
158506	NM_152577	CBLL2	13145
158511	NM_153478	CSAG1	10228
158511	NM_001102576	CSAG1	10228
158584	NM_174912	FAAH2	3430
158586	NM_007157	ZXDB	12189
158747	NM_152581	MOSPD2	532
158747	NM_001177475	MOSPD2	532
158763	NM_144967	ARHGAP36	4512
158763	NM_001282607	ARHGAP36	4512
158835	NM_001002254	AWAT2	13490
158866	NM_144969	ZDHHC15	3575
158866	NM_001146256	ZDHHC15	3575
158866	NM_001146257	ZDHHC15	3575
158880	NM_201286	USP51	13184
159013	NM_144970	CXorf38	7163
159090	NM_145284	FAM122B	2644
159090	NM_001166600	FAM122B	2644
159090	NM_001170757	FAM122B	2644
159090	NM_001166599	FAM122B	2644
159090	NM_001170756	FAM122B	2644
159091	NM_001170783	FAM122C	1161
159091	NM_001170780	FAM122C	1161
159091	NM_138819	FAM122C	1161
159091	NM_001170782	FAM122C	1161
159091	NM_001170781	FAM122C	1161
159091	NM_001170779	FAM122C	1161
159091	NM_001170784	FAM122C	1161
159119	NM_153716	HSFY2	5960
159119	NM_001001877	HSFY2	5960
159119	NR_003509	HSFY2	5960
159163	NM_152585	RBMY1F	3387
159163	NM_001303410	RBMY1F	3387
159195	NM_152586	USP54	7281
159195	NR_135249	USP54	7281
159195	NM_001320437	USP54	7281
159195	NM_001320441	USP54	7281
159195	NR_135250	USP54	7281
159296	NM_145285	NKX2-3	14015
159371	NM_153226	SLC35G1	2588
159371	NM_001134658	SLC35G1	2588
159686	NM_001008723	CFAP58	4382
159963	NM_178498	SLC5A12	13920
160140	NM_152587	C11orf65	4317
160287	NM_001144071	LDHAL6A	13623
160287	NM_144972	LDHAL6A	13623
160335	NM_001320321	TMTC2	4629
160335	NM_152588	TMTC2	4629
160335	NM_001320322	TMTC2	4629
160364	NM_201623	CLEC12A	13610
160364	NM_001300730	CLEC12A	13610
160364	NM_138337	CLEC12A	13610
160364	NM_001207010	CLEC12A	13610
160418	NM_181783	TMTC3	5407
160428	NM_001034173	ALDH1L2	14423
160428	NR_027752	ALDH1L2	14423
160518	NM_001308339	DENND5B	12105
160518	NM_144973	DENND5B	12105
160622	NM_001271856	GRASP	4429
160622	NM_181711	GRASP	4429
160728	NM_145913	SLC5A8	13386
160760	NM_139283	PPTC7	2277
160851	NM_178009	DGKH	6893
160851	NM_001204506	DGKH	6893
160851	NM_001297429	DGKH	6893
160851	NM_152910	DGKH	6893
160851	NM_001204505	DGKH	6893
160851	NM_001204504	DGKH	6893
160857	NM_144974	CCDC122	14011
160897	NM_180989	GPR180	7374
161003	NM_145286	STOML3	12778
161003	NM_001144033	STOML3	12778
161145	NM_182526	TMEM229B	13180
161176	NM_152592	SYNE3	4423
161198	NM_175060	CLEC14A	4526
161253	NM_173527	REM2	7090
161291	NM_001017970	TMEM30B	4459
161357	NM_001113498	MDGA2	3463
161357	NM_182830	MDGA2	3463
161357	NR_103766	MDGA2	3463
161424	NM_001286367	NOP9	10042
161424	NM_174913	NOP9	10042
161436	NM_183387	EML5	9857
161514	NM_001286434	TBC1D21	14350
161514	NM_153356	TBC1D21	14350
161725	NM_130901	OTUD7A	11484
161742	NM_152594	SPRED1	130
161753	NM_175881	ODF3L1	2798
161779	NM_152595	PGBD4	13189
161835	NM_152597	FSIP1	7518
161835	NM_001324338	FSIP1	7518
161882	NM_153813	ZFPM1	12264
161931	NM_001145400	ADAD2	10616
161931	NM_139174	ADAD2	10616
162073	NM_001034841	ITPRIPL2	10499
162239	NM_001318471	ZFP1	7363
162239	NM_001318469	ZFP1	7363
162239	NM_001318474	ZFP1	7363
162239	NM_001318473	ZFP1	7363
162239	NM_001318475	ZFP1	7363
162239	NM_001318472	ZFP1	7363
162239	NM_001318476	ZFP1	7363
162239	NM_153688	ZFP1	7363
162387	NM_152599	MFSD6L	3083
162394	NM_144975	SLFN5	2790
162417	NM_153006	NAGS	13950
162427	NR_026697	RETREG3	8155
162427	NM_178126	RETREG3	8155
162461	NM_153229	TMEM92	14150
162461	NM_001168215	TMEM92	14150
162466	NM_001143804	PHOSPHO1	14624
162466	NM_178500	PHOSPHO1	14624
162494	NM_138328	RHBDL3	10457
162514	NM_001258205	TRPV3	6531
162514	NM_145068	TRPV3	6531
162540	NM_175882	SPPL2C	3334
162540	NM_175882	SPPL2C	3334
162540	NM_175882	SPPL2C	3334
162605	NM_181535	KRT28	9706
162655	NM_145287	ZNF519	7435
162655	NR_033354	ZNF519	7435
162681	NM_001288980	C18orf54	7208
162681	NM_001288982	C18orf54	7208
162681	NM_001288981	C18orf54	7208
162681	NM_173529	C18orf54	7208
162963	NM_001161427	ZNF610	12728
162963	NM_001161425	ZNF610	12728
162963	NM_173530	ZNF610	12728
162963	NM_001161426	ZNF610	12728
162966	NM_001321866	ZNF600	9681
162966	NM_001321867	ZNF600	9681
162966	NM_198457	ZNF600	9681
162967	NM_207333	ZNF320	7929
162972	NM_001277092	ZNF550	13784
162972	NM_001277090	ZNF550	13784
162972	NM_001277091	ZNF550	13784
162972	NM_001277093	ZNF550	13784
162979	NM_145288	ZNF296	10138
